id,aliases
mbz,Mohamed bin Zayed|Mohammed bin Zayed|MBZ
khaled,Khaled bin Mohamed bin Zayed|Khaled bin Mohamed
tahnoun,Tahnoun bin Zayed|Tahnoon bin Zayed|Sheikh Tahnoon|Sheikh Tahnoun
mansour,Mansour bin Zayed
abdullah_bz,Abdullah bin Zayed
sultan_jaber,Sultan Al Jaber
khaldoon,Khaldoon Al Mubarak
mohamed_km,Mohamed Khalifa Al Mubarak
jassem_zaabi,Jassem Al Zaabi
alsuwaidi_adq,Mohamed Al Suwaidi|Mohamed Hassan Al Suwaidi
adnoc,Abu Dhabi National Oil Company|Ruwais Refinery
cfg,Man City|Manchester City
e_and,Etisalat
adq,Abu Dhabi Developmental Holding
ihc,International Holding Co
adia,Abu Dhabi Investment Authority
ega,Emirates Global Aluminium
enec,Emirates Nuclear Energy
multiply,Multiply Group|Multiply|2PointZero Group|Two Point Zero Group
adssc,Reem
sanad,Sanad Aerotech
tabreed,National Central Cooling Company
mubadala_health,Mubadala Healthcare
mubadala_energy,Mubadala Petroleum
kezad,Khalifa Economic Zones Abu Dhabi|KIZAD|ZonesCorp|Industrial City of Abu Dhabi|ICAD
adpf,Abu Dhabi Retirement Pensions and Benefits Fund
adqcc,QCC
marlan_space,Marlan Holding RSC Ltd
taqa_water,SWS Holding
globalfoundries,GF|GFS
cepsa_moeve,Moeve|Compania Espanola de Petroleos
louis_dreyfus,LDC
ta_ziz,Taziz
adnoc_global_trading,AGT
aldar_investment_propert,AIP
sca,Securities & Commodities Authority|SCA
