region,institution_id,name,sector,power,people_linked,status
qatar,qatarenergy,QatarEnergy,energy,97,1,pending
abudhabi,scfea,Supreme Council for Financial & Economic Affairs,gov,95,1,pending
dubai,icd,Investment Corporation of Dubai,sovereign,95,1,pending
dubai,execco,Dubai Executive Council,gov,94,1,pending
kuwait,kia,Kuwait Investment Authority,sovereign,92,1,pending
saudi,com,Council of Ministers,gov,92,1,pending
dubai,dubaiholding,Dubai Holding,sovereign,90,1,pending
dubai,dpworld,DP World,industry,90,1,pending
oman,oia,Oman Investment Authority,sovereign,90,1,pending
saudi,moenergy,Ministry of Energy,energy,90,1,pending
abudhabi,dof,Department of Finance,gov,88,1,pending
abudhabi,royalgroup,Royal Group,sovereign,88,1,pending
kuwait,kpc,Kuwait Petroleum Corporation,energy,88,1,pending
saudi,mod_sa,Ministry of Defense,gov,88,1,pending
qatar,mofin,Ministry of Finance,gov,86,1,pending
qatar,moi_q,Ministry of Interior,gov,86,1,pending
qatar,qcb,Qatar Central Bank,finance,86,1,pending
qatar,aljazeera,Al Jazeera Media Network,comm,86,1,pending
saudi,mof_sa,Ministry of Finance,gov,86,1,pending
saudi,mofa_sa,Ministry of Foreign Affairs,gov,86,1,pending
abudhabi,added,Department of Economic Development,gov,85,1,pending
abudhabi,adgm,Abu Dhabi Global Market,finance,84,1,pending
bahrain,mumtalakat,Mumtalakat (sovereign fund),sovereign,84,1,pending
dubai,enbd,Emirates NBD,finance,84,1,pending
dubai,emaar,Emaar Properties,realestate,84,1,pending
qatar,mod_q,Ministry of Defence,gov,84,1,pending
saudi,sama,Saudi Central Bank (SAMA),finance,84,1,pending
abudhabi,dmt,Department of Municipalities & Transport,gov,83,1,pending
abudhabi,eaa,Executive Affairs Authority,gov,82,1,pending
abudhabi,doe,Department of Energy,gov,82,1,pending
abudhabi,doh,Department of Health,gov,82,1,pending
bahrain,mofin_bh,Ministry of Finance & National Economy,gov,82,1,pending
dubai,det,Dept of Economy & Tourism,gov,82,1,pending
dubai,dewa,Dubai Electricity & Water Authority,utilities,82,1,pending
oman,mof_om,Ministry of Finance,gov,82,1,pending
oman,oq,OQ Group,energy,82,1,pending
qatar,qelng,QatarEnergy LNG,energy,82,1,pending
saudi,misa,Ministry of Investment,gov,82,1,pending
abudhabi,dct,Department of Culture & Tourism,gov,80,1,pending
abudhabi,alphadhabi,Alpha Dhabi Holding,sovereign,80,0,pending
abudhabi,eia,Emirates Investment Authority,sovereign,80,1,pending
abudhabi,xrg,XRG (ADNOC international investment),energy,80,1,pending
abudhabi,purehealth,PureHealth,health,80,1,pending
abudhabi,microsoft,Microsoft,tech,80,0,pending
bahrain,cbb,Central Bank of Bahrain,finance,80,1,pending
kuwait,mof_kw,Ministry of Finance,gov,80,1,pending
kuwait,nbk,National Bank of Kuwait,finance,80,1,pending
oman,mofa_om,Foreign Ministry,gov,80,1,pending
saudi,sabic,SABIC,materials,80,1,pending
saudi,neom,NEOM,realestate,80,1,pending
abudhabi,dge,Department of Government Enablement,gov,78,1,pending
abudhabi,adek,Department of Education & Knowledge,gov,78,1,pending
abudhabi,chimera,Chimera Investments,sovereign,78,0,pending
abudhabi,adnocgas,ADNOC Gas,energy,78,1,pending
abudhabi,ewec,Emirates Water & Electricity Company,utilities,78,1,pending
abudhabi,ega,Emirates Global Aluminium,materials,78,1,pending
bahrain,mofa_bh,Ministry of Foreign Affairs,gov,78,1,pending
bahrain,bapco,Bapco Energies,energy,78,1,pending
