name,mentions,region_guess,status,first_seen,last_seen,sample_headline
Arrive Logistics,14,abudhabi,rejected,2026-08-27,2026-09-03,"Arrive Logistics plans 1,000 hires after Mubadala majority investment"
Abu Dhabi Investment,9,abudhabi,rejected,2026-09-05,2026-09-11,Abu Dhabi Investment Portfolio: 10 stocks rally up to 107% in CY26
Man City,7,abudhabi,rejected,2026-08-25,2026-09-09,Stefan Borson furious as Man City's 115 charges to 'go on for years and years'
Marlan Holding,6,abudhabi,added,2026-09-08,2026-09-10,IHC in the UAE plans to acquire 80% of Marlan Holding
Dangote Refinery,4,abudhabi,rejected,2026-09-05,2026-09-07,ADNOC Reportedly Eyes Dangote Refinery Stake in Global Expansion
World Liberty Financial,3,abudhabi,rejected,2026-08-27,2026-08-28,Is Abu Dhabi’s Sheikh Tahnoon Taking a 49% Stake in Donald Trump’s World Liberty Financial?
Centurium Capital,3,abudhabi,rejected,2026-09-10,2026-09-10,Centurium Capital Management Ltd. and Mubadala Investment Company PJSC agreed to acquire an unknown minority stake in Luckin Coffee Inc. (OT
Adani Airport Holdings,3,abudhabi,rejected,2026-09-10,2026-09-10,IHC backs Adani Airport Holdings’ $1bn fundraising round
Dubai Healthcare,3,dubai,rejected,2026-09-10,2026-09-11,Dubai Healthcare City marks ground-breaking of $816m Dubai Creek Gardens development
TAQA Water Solutions,3,abudhabi,added,2026-09-09,2026-09-09,TAQA Water Solutions appoints Dr. Shehab Ahmed Al Muharrami as CEO
Masdar City,3,abudhabi,added,2026-08-26,2026-09-03,"Masdar City Launches Emirati Package to Empower National Entrepreneurs, Aligning with Emirati Women's Day and the Year of Family"
Dubai Healthcare City,3,dubai,added,2026-09-10,2026-09-11,"Dubai Healthcare City begins work on Dh3b Creek GardensMore than 1,400 homes planned in a 127,000-square-metre community overlooking Dubai C"
SNB Capital,3,saudi,added,2026-09-03,2026-09-05,SNB Capital North America Index Fund
Trump-Linked World Liberty Financial,2,abudhabi,rejected,2026-08-27,2026-08-28,WSJ: UAE Royal Sheikh Tahnoon Bin Zayed Holds 49% Stake in Trump-Linked World Liberty Financial Banking Venture
Infinity Power,2,abudhabi,rejected,2026-09-02,2026-09-03,Ras Shokeir Wind Project: Infinity Power and Hassan Allam Sign PPA for 1 GW Farm in Egypt
JK Cement,2,northern,rejected,2026-09-03,2026-09-03,JK Cement opens construction chemicals manufacturing unit in Ras Al Khaimah
Dell Technologies,2,saudi,rejected,2026-09-05,2026-09-07,"Dell Technologies, Armada to accelerate mobile and Edge Data Infrastructure in KSA"
Dubai Future Finance,2,dubai,rejected,2026-09-08,2026-09-08,DIFC to convene global leaders at Dubai Future Finance Week
European Commission,2,oman,rejected,2026-09-09,2026-09-11,European Commission presents landmark India FTA to Council for signature
Qatar Development,2,qatar,rejected,2026-09-07,2026-09-08,"Quick update on the top stories... Qatar Development Bank named ""Development Partner"" for QMED 2026. HMC to hold Alzheimer's awareness event"
Secretary-General of Ministry,2,qatar,rejected,2026-09-08,2026-09-08,Secretary-General of Ministry of Foreign Affairs meets First Deputy Chairman of the Senate of Uzbekistan
Saudi Investment,2,saudi,rejected,2026-09-03,2026-09-04,State-backed bank divests from American Express Saudi Arabia
Boring Company,2,dubai,rejected,2026-09-10,2026-09-11,UAE backs Musk’s Boring Company in $3bn fundraising
Ruwais Refinery,2,abudhabi,rejected,2026-08-31,2026-09-03,"Ruwais Refinery Back to Full Capacity, People Say, as Adnoc Lifts Product Exports"
Manchester City,2,abudhabi,rejected,2026-09-01,2026-09-05,Manchester City Women get new $13.5m headquarters
Dubai Maritime Authority,2,dubai,added,2026-09-07,2026-09-08,Dubai Maritime Authority drives maritime ecosystem 1h ago3m read
Muscat Municipality,2,oman,added,2026-09-04,2026-09-07,Muscat Municipality prohibits feeding birds in public places
Al Mazunah Free Zone,2,oman,added,2026-09-05,2026-09-06,Al Mazunah Free Zone localises four projects in H1 2026
Port of Duqm,2,oman,added,2026-09-03,2026-09-03,Arrival of one of world's largest car carriers highlights Port of Duqm capabilities
AlRayan Bank,2,qatar,rejected,2026-09-03,2026-09-03,"QFC, AlRayan Bank sign MoU to boost Islamic finance and capital markets"
BSF Capital,2,saudi,added,2026-09-11,2026-09-12,"BSF Capital maintains Maaden, AMAK ratings"
Gulf Coast Development Company,2,saudi,added,2026-09-07,2026-09-08,PIF launches Gulf Coast Development to build integrated coastal destination in Al-Khafji
SICO Bank,2,saudi,added,2026-09-03,2026-09-08,"SICO Bank sets rating for Mouwasat Medical Services, raises TP"
Saudi Energy,2,saudi,rejected,2026-09-03,2026-09-07,"SICO Bank revises Saudi Energy rating, TP"
Axelerated Solutions,2,saudi,added,2026-09-03,2026-09-03,Axelerated Solutions to establish SAR 675M data center fund
Fakhruddin Properties,2,dubai,added,2026-09-08,2026-09-10,Fakhruddin Properties unveils 463-unit premier mixed-use project in Dubai
Saudi Investment Bank,2,saudi,rejected,2026-09-03,2026-09-04,Saudi Investment Bank to exit AmEx Saudi Arabia via $381mln stake sale
BlueFive Capital,2,abudhabi,added,2026-09-11,2026-09-12,Abu Dhabi’s BlueFive Capital acquires 30% stake in supercar producer Bugatti Rimac
