id,name,short,sector,tier,power
adgov,Abu Dhabi Government (Ruler's Court),AD Govt,gov,0,100
prescourt,UAE Presidential Court,Pres. Court,gov,0,95
fedgov,UAE Cabinet / Federal Government,UAE Cabinet,gov,0,92
execcouncil,Abu Dhabi Executive Council,Exec Council,gov,0,96
scfea,Supreme Council for Financial & Economic Affairs,SCFEA,gov,0,95
eaa,Executive Affairs Authority,EAA,gov,1,82
dof,Department of Finance,DoF,gov,1,88
added,Department of Economic Development,ADDED,gov,1,85
doe,Department of Energy,DoE,gov,1,82
doh,Department of Health,DoH,gov,1,82
dmt,Department of Municipalities & Transport,DMT,gov,1,83
dge,Department of Government Enablement,DGE,gov,1,78
adek,Department of Education & Knowledge,ADEK,gov,1,78
dct,Department of Culture & Tourism,DCT,gov,1,80
dcd,Department of Community Development,DCD,gov,1,72
ead,Environment Agency – Abu Dhabi,EAD,gov,1,76
adafsa,Abu Dhabi Agriculture & Food Safety Authority,ADAFSA,gov,2,66
adio,Abu Dhabi Investment Office,ADIO,gov,1,76
admo,Abu Dhabi Media Office,AD Media Office,comm,1,72
mofa,UAE Ministry of Foreign Affairs,MoFA,gov,1,84
cbuae,Central Bank of the UAE,CBUAE,finance,1,86
sca,Securities & Commodities Authority,SCA,finance,2,70
spaceagency,UAE Space Agency,Space Agency,tech,2,70
tawazun,Tawazun Council,Tawazun,gov,1,76
atrc,Advanced Technology Research Council,ATRC,tech,1,76
adia,Abu Dhabi Investment Authority,ADIA,sovereign,1,97
mubadala,Mubadala Investment Company,Mubadala,sovereign,1,96
adq,ADQ,ADQ,sovereign,1,94
ihc,International Holding Company,IHC,sovereign,1,92
royalgroup,Royal Group,Royal Group,sovereign,1,88
chimera,Chimera Investments,Chimera,sovereign,2,78
lunate,Lunate,Lunate,sovereign,2,76
mgx,MGX,MGX,sovereign,1,84
twopointzero,2PointZero,2PointZero,sovereign,2,74
alphadhabi,Alpha Dhabi Holding,Alpha Dhabi,sovereign,2,80
multiply,Multiply Group,Multiply,sovereign,2,72
eia,Emirates Investment Authority,EIA,sovereign,1,80
hub71,Hub71,Hub71,tech,2,68
adnoc,ADNOC Group,ADNOC,energy,1,97
xrg,XRG (ADNOC international investment),XRG,energy,2,80
adnocgas,ADNOC Gas,ADNOC Gas,energy,2,78
adnocdrill,ADNOC Drilling,ADNOC Drilling,energy,2,72
adnocls,ADNOC Logistics & Services,ADNOC L&S,energy,2,70
adnocdist,ADNOC Distribution,ADNOC Dist.,energy,2,72
borouge,Borouge,Borouge,materials,2,74
fertiglobe,Fertiglobe,Fertiglobe,materials,2,68
masdar,Masdar,Masdar,utilities,1,82
taqa,TAQA Group,TAQA,utilities,1,86
ewec,Emirates Water & Electricity Company,EWEC,utilities,2,78
