symbol,name,sector,market
EMIRATESNBD,Emirates NBD Bank PJSC,finance,main
DEWA,Dubai Electricity and Water Authority PJSC,utilities,main
EMAAR,Emaar Properties PJSC,realestate,main
MASQ,Mashreqbank PSC,finance,main
DIB,Dubai Islamic Bank P.J.S.C.,finance,main
EMAARDEV,Emaar Development PJSC,realestate,main
DU,Emirates Integrated Telecommunications Company PJSC,comm,main
SALIK,Salik Company P.J.S.C.,industry,main
CBD,Commercial Bank of Dubai PSC,finance,main
TALABAT,Talabat Holding plc,consumer_disc,main
AIRARABIA,Air Arabia PJSC,industry,main
PARKIN,Parkin Company P.J.S.C.,industry,main
TECOM,TECOM Group PJSC,realestate,main
DUBAIRESI,Dubai Residential REIT,realestate,main
DIC,Dubai Investments PJSC,conglomerate,main
EMPOWER,Emirates Central Cooling Systems Corporation,utilities,main
DFM,Dubai Financial Market P.J.S.C.,finance,main
ETIHADENERGY,Etihad Energy Holding PJSC,industry,main
GFH,GFH Bank B.S.C.,finance,main
ALANSARI,Al Ansari Financial Services PJSC,finance,main
NIND,National Industries Group Holding K.P.S.C.,conglomerate,main
TABREED,National Central Cooling Company PJSC,utilities,main
ALEC,ALEC Holdings PJSC,industry,main
SALAM_BAH,Al Salam Bank B.S.C.,finance,main
DTC,Dubai Taxi Company P.J.S.C.,industry,main
SPINNEYS,Spinneys 1961 Holding plc,consumer_stap,main
MKHZN,Makhazen,industry,main
AJMANBANK,Ajman Bank PJSC,finance,main
UNIONCOOP,Union Coop,consumer_stap,main
AMANAT,Amanat Holdings PJSC,health,main
DEYAAR,Deyaar Development PJSC,realestate,main
TAALEEM,Taaleem Holdings PJSC,consumer_disc,main
SUKOON,Sukoon Insurance PJSC,finance,main
DRC,Dubai Refreshment P.J.S.C.,consumer_stap,main
ARMX,Aramex PJSC,industry,main
UPP,Union Properties PJSC,realestate,main
IFA,International Financial Advisors Holding K.P.S.C.,finance,main
NCC,National Cement Company,materials,main
AMLAK,Amlak Finance PJSC,finance,main
DIN,Dubai Insurance Company P.S.C.,finance,main
SALAMA,Islamic Arab Insurance Co. (Salama) PJSC,finance,main
NGI,National General Insurance Co. P.J.S.C.,finance,main
SHUAA,SHUAA Capital PSC,finance,main
ALRAMZ,Al Ramz Corporation Investment and Development P.J.S.C.,finance,main
DSI,Drake and Scull International P.J.S.C.,industry,main
ERC,Emirates Reem Investments Company P.J.S.C.,consumer_stap,main
NIH,National International Holding Company K.S.C.P.,finance,main
EIBANK,Emirates Investment Bank P.J.S.C.,finance,main
MAZAYA,Al-Mazaya Holding Company K.S.C.,realestate,main
BHMCAPITAL,BHM Capital Financial Services PSC,finance,main
DNIR,Dubai National Insurance & Reinsurance Co. P.S.C.,finance,main
UFC,United Foods Company PSC,consumer_stap,main
SUKOONTAKAFL,Sukoon Takaful PJSC,finance,main
ITHMR,Ithmaar Holding B.S.C.,finance,main
UNIKAI,Unikai Foods P.J.S.C.,consumer_stap,main
NAHO,Naeem Holding Company For Investments,finance,main
ALFIRDOUS,Al Firdous Holdings P.J.S.C.,consumer_disc,main
WATANIA,Watania International Holding PJSC,finance,main
EKTTITAB,Ekttitab Holding Company K.S.C.,finance,main
AMAN,Dubai Islamic Insurance & Reinsurance Co. (Aman) P.J.S.C.,finance,main
ALSALAMSUDAN,Al Salam Bank - Sudan,finance,main
